drug,target,pchembl_value
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D,7.96
SUNITINIB,Fibroblast growth factor receptor 2,6.28
SUNITINIB,Fibroblast growth factor receptor 2,6.28
SORAFENIB,NT-3 growth factor receptor,6.22
MIDOSTAURIN,Maternal embryonic leucine zipper kinase,6.55
SUNITINIB,Maternal embryonic leucine zipper kinase,6.46
MIDOSTAURIN,Serine/threonine-protein kinase AKT,6.02
MIDOSTAURIN,Serine/threonine-protein kinase AKT2,6.11
DASATINIB,Serine/threonine-protein kinase SIK1,8.41
MIDOSTAURIN,Serine/threonine-protein kinase SIK1,6.8
PAZOPANIB,Fibroblast growth factor receptor 2,6.68
SUNITINIB,Fibroblast growth factor receptor 2,6.24
NINTEDANIB,Fibroblast growth factor receptor 2,7.43
MIDOSTAURIN,Serine/threonine-protein kinase AKT,6.02
MIDOSTAURIN,Serine/threonine-protein kinase AKT2,6.11
MIDOSTAURIN,Maternal embryonic leucine zipper kinase,6.55
MIDOSTAURIN,Serine/threonine-protein kinase SIK1,6.8
SUNITINIB,Serine/threonine-protein kinase Chk2,8.15
SUNITINIB,Fibroblast growth factor receptor 2,6.24
SUNITINIB,Maternal embryonic leucine zipper kinase,6.46
SORAFENIB,NT-3 growth factor receptor,6.22
CRIZOTINIB,NT-3 growth factor receptor,7.09
RUXOLITINIB,NT-3 growth factor receptor,6.48
SUNITINIB,Serine/threonine-protein kinase Chk2,8
SUNITINIB,Maternal embryonic leucine zipper kinase,6.46
SUNITINIB,Fibroblast growth factor receptor 2,6.24
NINTEDANIB,NT-3 growth factor receptor,7.5
DASATINIB,Serine/threonine-protein kinase SIK1,8.41
MIDOSTAURIN,Serine/threonine-protein kinase AKT2,6.11
MIDOSTAURIN,Serine/threonine-protein kinase AKT,6.02
MIDOSTAURIN,Maternal embryonic leucine zipper kinase,6.55
NINTEDANIB,Maternal embryonic leucine zipper kinase,8.31
NINTEDANIB,Fibroblast growth factor receptor 2,6.46
NINTEDANIB,Serine/threonine-protein kinase SIK1,6.17
MIDOSTAURIN,Serine/threonine-protein kinase SIK1,6.8
GEFITINIB,Serine/threonine-protein kinase Chk2,6.1
AXITINIB,Fibroblast growth factor receptor 2,6.96
BOSUTINIB,Serine/threonine-protein kinase Chk2,6.92
NILOTINIB,NT-3 growth factor receptor,6.22
BOSUTINIB,Serine/threonine-protein kinase SIK1,7.52
SORAFENIB,NT-3 growth factor receptor,6.22
PAZOPANIB,Fibroblast growth factor receptor 2,6.68
SUNITINIB,Serine/threonine-protein kinase Chk2,7.77
SORAFENIB,NT-3 growth factor receptor,6.4
GEFITINIB,Serine/threonine-protein kinase Chk2,6.2
GEFITINIB,Serine/threonine-protein kinase Chk2,6.2
IDELALISIB,PI3-kinase p110-alpha subunit,6.09
CERITINIB,Fibroblast growth factor receptor 2,6.58
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,7.96
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,8.27
PALBOCICLIB,CDK6/cyclin D1,8.43
IDELALISIB,PI3-kinase p110-alpha subunit,6.09
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,8.7
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,7.96
IBRUTINIB,Fibroblast growth factor receptor 2,6.55
IDELALISIB,PI3-kinase p110-alpha/p85-alpha,6.08
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,7.96
IBRUTINIB,Fibroblast growth factor receptor 2,6.55
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1,8
