drug,target,pchembl_value
PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D,7.96
SORAFENIB,Serine/threonine-protein kinase B-raf,7.34
BOSUTINIB,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),6.7
BOSUTINIB,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),6.82
SORAFENIB,Serine/threonine-protein kinase B-raf,7.82
SORAFENIB,Serine/threonine-protein kinase B-raf,8.52
SORAFENIB,Serine/threonine-protein kinase B-raf,6.7
CRIZOTINIB,ALK tyrosine kinase receptor,7.7
SORAFENIB,Serine/threonine-protein kinase B-raf,7.42
MIDOSTAURIN,ALK tyrosine kinase receptor,6.57
SUNITINIB,ALK tyrosine kinase receptor,6.77
DASATINIB,Serine/threonine-protein kinase B-raf,6.3
PAZOPANIB,Serine/threonine-protein kinase B-raf,6.14
SORAFENIB,Serine/threonine-protein kinase B-raf,6.27
DASATINIB,Serine/threonine-protein kinase B-raf,6.24
PAZOPANIB,Serine/threonine-protein kinase B-raf,6.37
SORAFENIB,Serine/threonine-protein kinase B-raf,6.58
SORAFENIB,Serine/threonine-protein kinase B-raf,7.12
SORAFENIB,Serine/threonine-protein kinase B-raf,7.66
SORAFENIB,Serine/threonine-protein kinase B-raf,7.66
MIDOSTAURIN,ALK tyrosine kinase receptor,6.57
SUNITINIB,ALK tyrosine kinase receptor,6.77
SORAFENIB,Serine/threonine-protein kinase B-raf,6.27
CRIZOTINIB,ALK tyrosine kinase receptor,6.22
CRIZOTINIB,ALK tyrosine kinase receptor,7.7
SUNITINIB,ALK tyrosine kinase receptor,6.77
CRIZOTINIB,ALK tyrosine kinase receptor,8.48
DASATINIB,Serine/threonine-protein kinase B-raf,6.3
DASATINIB,Serine/threonine-protein kinase B-raf,6.24
MIDOSTAURIN,ALK tyrosine kinase receptor,6.57
NINTEDANIB,ALK tyrosine kinase receptor,7.51
BOSUTINIB,ALK tyrosine kinase receptor,6.16
NILOTINIB,Serine/threonine-protein kinase B-raf,6.24
SORAFENIB,Serine/threonine-protein kinase B-raf,6.27
SORAFENIB,Serine/threonine-protein kinase B-raf,6.58
PAZOPANIB,Serine/threonine-protein kinase B-raf,6.14
PAZOPANIB,Serine/threonine-protein kinase B-raf,6.37
